"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"LGR6",0.371962136448274,0.554054054054054,0.576421829018203,0.662,0.719,1
"MMP24",0.372311723837461,0.45629222972973,0.625646546911558,0.243,0.375,1
"WARS",0.372372770501241,0.45629222972973,-0.260302507124703,0.257,0.344,1
"RECK",0.372483132057332,0.542652027027027,0.80466116384395,0.284,0.219,1
"TPP1",0.372820426076194,0.449535472972973,0.527920866138314,0.419,0.562,1
"OPTN",0.373534099339355,0.445945945945946,0.399669219908172,0.635,0.844,1
"VAMP3",0.374012342324053,0.453758445945946,0.353175948545312,0.297,0.438,1
"KYAT3",0.374017413403604,0.453758445945946,-0.334020201542028,0.311,0.406,1
"B4GALT1",0.374334013936644,0.548353040540541,1.16839753169572,0.419,0.344,1
"ALG10",0.374443633593814,0.469805743243243,-1.18995719000315,0.095,0.156,1
"BG8",0.376675234126634,0.464315878378378,-0.730285528930391,0.149,0.219,1
"HINT3",0.376932477523371,0.461359797297297,-1.07088394228056,0.189,0.25,1
"INTS10",0.376941544444084,0.452913851351351,0.565564095568894,0.338,0.438,1
"GNAT2",0.377365317411215,0.553209459459459,0.626126738893596,0.662,0.625,1
"ORC5",0.378832944537822,0.467060810810811,-0.302562770020431,0.122,0.188,1
"CCDC117",0.378834623128891,0.537795608108108,4.83653930795498,0.216,0.156,1
"REV1",0.378842753366693,0.467060810810811,-1.40158457177931,0.122,0.188,1
"CWF19L2",0.37897071133624,0.540962837837838,3.72343243851251,0.257,0.219,1
"RPP14",0.379023309764746,0.451224662162162,-0.258012669873894,0.378,0.531,1
"STAT1",0.37908027524318,0.540962837837838,0.78310621024211,0.27,0.188,1
"AMER3",0.379081782507126,0.546875,0.843531090302772,0.378,0.344,1
"MT",0.379109763641718,0.459037162162162,-0.53930112381255,0.216,0.312,1
"COX20",0.379228020541207,0.553420608108108,0.352470356108817,0.689,0.719,1
"RIF1",0.379559797193971,0.461570945945946,0.303035671905038,0.176,0.281,1
"PTPN11",0.379667803481138,0.552153716216216,0.394501850435254,0.608,0.531,1
"SMIM7",0.380357325727418,0.551309121621622,0.768488253539535,0.527,0.562,1
"MAPT",0.381197037461802,0.470228040540541,0.631848888351992,0.095,0.156,1
"METTL21A",0.381204964867792,0.470228040540541,-0.611070349145472,0.095,0.156,1
"LRRC28",0.381516207921708,0.462415540540541,1.02745686416268,0.176,0.25,1
"BICD1",0.381516207921708,0.537584459459459,1.84737785696773,0.216,0.156,1
"PIGV",0.381724382904566,0.542863175675676,1.97655224132796,0.297,0.25,1
