"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"PDE4DIP",0.79064097927918,0.491816693944354,-1.01251161728344,0.103,0.117,1
"ADGRL3",0.79072076802488,0.509956355701037,-1.29169024938145,0.205,0.17,1
"MNT",0.791184827545085,0.490589198036007,-1.52943347926461,0.154,0.16,1
"CDC14B",0.791260729744507,0.489907255864703,-0.854619568799009,0.179,0.191,1
"LOC107049645",0.792115982436479,0.507364975450082,-2.83034904073552,0.103,0.085,1
"BG8",0.792129616624018,0.507364975450082,-0.645083493158727,0.103,0.085,1
"ZSWIM5",0.792209877580058,0.48936170212766,-1.62915644283797,0.205,0.223,1
"CUEDC1",0.79224436551888,0.489225313693399,-1.17587726112354,0.205,0.234,1
"DNAAF5",0.793103281746367,0.490861974904528,0.760172985327531,0.128,0.16,1
"FAM155B",0.793609724599884,0.511320240043644,-0.615085660131111,0.282,0.255,1
"NEK7",0.794103808003499,0.491953082378614,5.41260200423923,0.103,0.117,1
"TMLHE",0.794106360833437,0.491953082378614,-0.421128868051996,0.103,0.117,1
"SPOPL",0.794192456538954,0.509274413529733,-1.0343042138153,0.179,0.149,1
"RNF149",0.794663180427855,0.510229132569558,-1.6108527431437,0.231,0.191,1
"SALL1",0.794860288853062,0.514457174031642,-0.278301162487105,0.846,0.84,1
"PRPS2",0.794922534996017,0.49113475177305,-0.3729783794591,0.128,0.149,1
"PCMTD1",0.794993007405148,0.488134206219313,-1.12054577755185,0.308,0.309,1
"C14H16ORF52",0.795819954351265,0.490452809601746,0.666842053865996,0.154,0.181,1
"PDPR",0.795970410012711,0.507228587015821,-1.77274932435203,0.103,0.085,1
"ELF1",0.796656223261681,0.491407528641571,-1.8346996070641,0.128,0.138,1
"GCLC",0.796850450407338,0.490180032733224,-2.34972319982911,0.179,0.191,1
"SUGP2",0.796949660834385,0.488543371522095,-0.854856834656116,0.282,0.287,1
"C7H2ORF76",0.797380223243179,0.510092744135297,0.453611203952816,0.205,0.202,1
"SESN3",0.797600385029375,0.512956901254774,-0.511565905992377,0.487,0.415,1
"GCLM",0.797740491753889,0.512138570649209,-0.327096730633024,0.359,0.34,1
"PIK3C3",0.798042416155869,0.509274413529733,0.672083569222021,0.179,0.16,1
"DEK",0.798688992084522,0.490589198036007,-0.271381748547314,0.154,0.181,1
"SPOUT1",0.798714658445164,0.511456628477905,-0.682850646642357,0.333,0.277,1
