"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"COQ7",1.34398703071394e-05,0.709902450090744,0.601556985753214,0.875,0.436,0.158818947419466
"ACO2",1.35365146763088e-05,0.719203720508167,0.575319499866188,0.938,0.546,0.159960993929941
"ENAH",1.35632201975589e-05,0.675646551724138,0.304171808043165,0.594,0.238,0.160276573074553
"NAT9",1.35654044484933e-05,0.691356624319419,0.966696642358862,0.719,0.309,0.160302384367846
"FNBP1L",1.37843766316835e-05,0.692746143375681,0.807411352499758,0.688,0.319,0.162889978656603
"MANBAL4",1.38394732156277e-05,0.566583484573503,1.92620248633626,0.156,0.022,0.163541054989073
"ADGRG6",1.40757542268976e-05,0.724194646098004,0.620089733810369,1,0.655,0.166333187699249
"MTHFR",1.42905761501192e-05,0.652762023593466,0.816653359024381,0.469,0.163,0.168871738365959
"PFDN4",1.43913672030443e-05,0.706839836660617,0.414023782306683,0.875,0.414,0.170062786238375
"XRCC5",1.44046434039112e-05,0.652109800362976,0.781394938008147,0.469,0.162,0.170219671104019
"ACTR10",1.44098806765427e-05,0.69467445553539,0.67322861702806,0.719,0.332,0.170281559954706
"PRPF39",1.4533377930566e-05,0.700204174228675,0.693655563478566,0.75,0.368,0.171740927005499
"SUGP2",1.45611523874245e-05,0.668358666061706,0.756785126023654,0.562,0.212,0.172069137762195
"ZRANB2",1.45899631878127e-05,0.698899727767695,0.591225294549867,0.75,0.359,0.172409594990383
"TMPRSS7",1.4683366243862e-05,0.714127722323049,0.600151131751658,0.938,0.488,0.173513338903718
"BBS12",1.48122065320202e-05,0.641078720508167,1.00491517076601,0.406,0.134,0.175035844588882
"RCHY1",1.48956639819067e-05,0.688208938294011,0.386102233517681,0.656,0.299,0.176022061274191
"ABCG5",1.49285303764208e-05,0.566328266787659,1.75541126148702,0.156,0.022,0.176410443458165
"E2F3",1.5080757069474e-05,0.648735254083485,0.405079451595996,0.469,0.152,0.178209306289974
"PSMC1",1.55749590692603e-05,0.704344373865699,0.822105237642791,0.781,0.405,0.184049291321449
"GJB6",1.57317376220979e-05,0.275748638838476,-4.45587123731861,0.5,0.728,0.18590194348033
"UTP4",1.57868278990586e-05,0.616918103448276,1.73993343576992,0.312,0.085,0.186552945283175
"HSPD1",1.58474392956189e-05,0.709420372050817,0.872265330094813,0.812,0.452,0.187269190156329
"IMMT",1.63922108486104e-05,0.703380217785844,0.864175254470095,0.812,0.399,0.193706755598029
"AN1ZNF5L",1.65101707662769e-05,0.670457123411978,0.649530213911414,0.562,0.225,0.195100687945094
"ATG4A",1.65464825851914e-05,0.698134074410163,0.321503139392127,0.812,0.359,0.195529784709207
