"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TRMT1L.2",0.00249308171237543,0.639580480517864,0.416174082596751,0.621,0.318,1,"7","TRMT1L"
"XRCC3",0.00249479628907553,0.587794099340222,0.53609912998423,0.276,0.094,1,"7","XRCC3"
"SH3GLB1.2",0.0025007243214407,0.638615710195444,0.470812424696196,0.586,0.312,1,"7","SH3GLB1"
"PRR15.2",0.00250882531894749,0.376353790613718,-9.25190960621275,0,0.247,1,"7","PRR15"
"EIF3H.4",0.00253226352093428,0.662610481762729,0.752195088273429,0.862,0.639,1,"7","EIF3H"
"BFAR.2",0.00253239157677752,0.613469438565916,0.691690243011377,0.414,0.177,1,"7","BFAR"
"RPL27A.1",0.00256406424515472,0.663544130461845,0.8064994118983,0.793,0.686,1,"7","RPL27A"
"RWDD2B.1",0.00256525812515541,0.607680816631396,0.888159971626708,0.379,0.155,1,"7","RWDD2B"
"SLMAP.2",0.00259330299230164,0.633916345076559,0.552966947042563,0.552,0.283,1,"7","SLMAP"
"BAG4.1",0.00260970985059057,0.614745425121374,1.54838602304312,0.414,0.184,1,"7","BAG4"
"CEP85L.4",0.00261868552924517,0.646645089007843,0.54463625540664,0.655,0.386,1,"7","CEP85L"
"RARB.5",0.00261941991473926,0.357680816631396,-2.47056819614728,0.103,0.374,1,"7","RARB"
"ATG7.2",0.00262584596458787,0.621374330885099,0.980080708593648,0.448,0.215,1,"7","ATG7"
"SOX10.6",0.00262634904200783,0.377256317689531,-11.0758905887986,0,0.245,1,"7","SOX10"
"KRT222.7",0.00263620887393566,0.368448898294535,-4.14811451782049,0.034,0.296,1,"7","KRT222"
"EIF4EBP1.1",0.00263973834897843,0.661988049296651,0.735745823424182,0.759,0.646,1,"7","EIF4EBP1"
"DDX20.2",0.00264434146471974,0.5803871529939,0.814234983730615,0.241,0.078,1,"7","DDX20"
"RAB34",0.00266018824254019,0.564328395369102,2.16703225232728,0.172,0.047,1,"7","RAB34"
"NHLRC2.4",0.00268733918500475,0.630741939499564,0.333239394364272,0.552,0.265,1,"7","NHLRC2"
"ANGEL1",0.00269294006642583,0.622432466077431,-1.11119680186303,0.517,0.218,1,"7","ANGEL1"
"COX8A.3",0.00270304428587566,0.664820117017304,0.744634825376834,0.966,0.841,1,"7","COX8A"
"MIEN1.4",0.00270736609519731,0.647983318809909,0.52663676482323,0.69,0.404,1,"7","MIEN1"
"NCAM2.2",0.00271454011417929,0.593769451014565,-0.419283619022289,0.31,0.112,1,"7","NCAM2"
"MED6.2",0.00271941750472053,0.642381426615212,0.766427031293609,0.655,0.35,1,"7","MED6"
"SAYSD1.2",0.00273420224763102,0.350771816257936,-2.05333277500324,0.172,0.448,1,"7","SAYSD1"
"CXorf23.4",0.00273664571893027,0.614589817004855,0.627181655649856,0.414,0.186,1,"7","CXorf23"
"FCF1.6",0.0027528301865624,0.628719033984813,0.448748419736021,0.552,0.255,1,"7","FCF1"
"RIOK3.1",0.00275957512454545,0.611664384414291,1.10194327869533,0.379,0.175,1,"7","RIOK3"
"C17H9orf78.4",0.00278207405748598,0.633480642350305,1.24876118125044,0.552,0.287,1,"7","C17H9orf78"
