"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FGFR3",1.48204275296529e-70,0.956842206419373,4.88382844845649,0.964,0.19,1.75132992117908e-66,"0","FGFR3"
"TECTB",3.0182811954066e-54,0.945762060349798,3.14855996256837,1,0.397,3.56670288861198e-50,"0","TECTB"
"CD81",4.95135279297851e-41,0.910186430905247,2.43545959146662,1,0.905,5.85101359546271e-37,"0","CD81"
"PLEKHG1",1.39674663691982e-40,0.810359408033827,3.75977994206434,0.709,0.144,1.65053550084816e-36,"0","PLEKHG1"
"TECTA",2.30620500885402e-39,0.859465692869498,2.89662687662444,0.891,0.307,2.7252424589628e-35,"0","TECTA"
"ID2",7.1195857291305e-38,0.885902364020757,2.14512884829017,0.991,0.588,8.41321445611351e-34,"0","ID2"
"SEMA3D",2.44916901666495e-37,0.74323467230444,3.19155395183347,0.545,0.059,2.89418302699297e-33,"0","SEMA3D"
"PRLR",3.41500083932031e-37,0.775341149336921,2.8869455971562,0.645,0.104,4.03550649182481e-33,"0","PRLR"
"SORCS3",3.98399158458007e-37,0.692504324428215,5.6510341653322,0.4,0.017,4.70788285549826e-33,"0","SORCS3"
"NTN4L",6.05339702837931e-36,0.720103786277148,5.58291734450051,0.473,0.044,7.15329926843583e-32,"0","NTN4L"
"HS3ST1",2.93248765281543e-35,0.776119546415529,3.4237753572005,0.645,0.125,3.465320659332e-31,"0","HS3ST1"
"HEY2",1.01996937293123e-33,0.761512588891024,2.3639538470993,0.627,0.108,1.20529780799283e-29,"0","HEY2"
"CLDN8",1.646719050922e-33,0.839208149144724,2.69949040023509,0.864,0.37,1.94592790247453e-29,"0","CLDN8"
"GRK5",2.41353660075972e-33,0.680338266384778,3.85655101865109,0.382,0.019,2.85207620111777e-29,"0","GRK5"
"COL14A1",4.39640943206995e-33,0.8120987891601,3.70968177652901,0.755,0.256,5.19523702587706e-29,"0","COL14A1"
"OTOGL",1.02147390906454e-32,0.810272919469537,2.6103056762167,0.791,0.247,1.20707571834156e-28,"0","OTOGL"
"UPK1B",1.16484054177203e-32,0.711752834902941,3.12036909322257,0.473,0.049,1.376492068212e-28,"0","UPK1B"
"ITPR1",1.23205281095563e-32,0.725533346146454,3.79362026577097,0.509,0.066,1.45591680670626e-28,"0","ITPR1"
"COL2A1",2.61794092011333e-32,0.712954064962522,4.18142246817819,0.473,0.053,3.09362078529792e-28,"0","COL2A1"
"FZD10",2.72174343032759e-31,0.678973669037094,3.92345326339186,0.382,0.025,3.21628421161811e-27,"0","FZD10"
"GATA2",6.24820649841004e-31,0.760676532769556,2.93492829044272,0.627,0.137,7.38350561917114e-27,"0","GATA2"
"SGPL1",1.01337463659536e-30,0.746521237747453,3.25059722014911,0.582,0.112,1.19750480806473e-26,"0","SGPL1"
"TIMP3",1.42590170648778e-30,0.804516625024025,4.50603273591699,0.727,0.288,1.68498804655661e-26,"0","TIMP3"
"OTOA",1.80621535588522e-29,0.801825869690563,2.75229902990608,0.773,0.294,2.13440468604956e-25,"0","OTOA"
"LOC107050073",2.21739080301341e-29,0.652575437247742,4.48962681569953,0.318,0.013,2.62029071192095e-25,"0","LOC107050073"
"GATA3",3.41689484429112e-29,0.822141072458197,1.70846655558163,0.927,0.412,4.03774463749882e-25,"0","GATA3"
"SPOCK1",9.26084666189136e-29,0.783442244858735,2.52506127012816,0.727,0.233,1.0943542500357e-24,"0","SPOCK1"
"LOC101750640",5.76969607676364e-28,0.645214299442629,8.09464326361089,0.3,0.013,6.81804985391159e-24,"0","LOC101750640"
"SLC6A2",2.87964223651228e-27,0.724995195079762,3.84337525423276,0.527,0.108,3.40287323088656e-23,"0","SLC6A2"
"SLC25A6",4.63954727765877e-27,0.171968095329618,-2.60475614382444,0.482,0.867,5.48255301800937e-23,"0","SLC25A6"
"OTOF",4.99707724691347e-27,0.184653084758793,-4.95841679063245,0.082,0.677,5.90504618267765e-23,"0","OTOF"
"STC1",8.81599268806856e-27,0.78609456083029,1.31880005733355,0.818,0.279,1.04178585594906e-22,"0","STC1"
"PLSCR5",1.01000834745903e-26,0.185104747261195,-4.64864760419656,0.118,0.687,1.19352686419234e-22,"0","PLSCR5"
"CSRP2",1.80559429995639e-26,0.824014991351144,2.260309932496,0.964,0.744,2.13367078425846e-22,"0","CSRP2"
"FGFRL1",4.52140914781433e-26,0.741985393042475,3.26551465466325,0.609,0.154,5.34294918997219e-22,"0","FGFRL1"
"B3GNTL",9.87027114019094e-26,0.198577743609456,-7.1954704844287,0.036,0.622,1.16636994063636e-21,"0","B3GNTL"
"SCG3",1.27244519072812e-25,0.192706131078224,-3.98736602045263,0.091,0.685,1.50364848188342e-21,"0","SCG3"
"SLC9A4",2.2113947962405e-25,0.71892177589852,3.50110985088313,0.518,0.116,2.61320523071739e-21,"0","SLC9A4"
"S100A1",3.21544514001631e-25,0.815270036517394,1.26603518646733,0.982,0.721,3.79969152195728e-21,"0","S100A1"
"MTCL1",3.30171844071956e-25,0.713357678262541,2.51834652528641,0.518,0.104,3.90164068139831e-21,"0","MTCL1"
"CKB",3.49404682886873e-25,0.183797808956371,-4.26210943751616,0.555,0.886,4.12891513767417e-21,"0","CKB"
"ADAMTS17",4.51182248930247e-25,0.672852200653469,3.08335856983568,0.391,0.047,5.33162063560873e-21,"0","ADAMTS17"
"CLCA2",6.45949968678191e-25,0.785258504708822,2.00265832704372,0.827,0.342,7.63319077987018e-21,"0","CLCA2"
"DST",7.19001321095063e-25,0.193619065923506,-3.67113360402758,0.173,0.727,8.49643861138036e-21,"0","DST"
"CALB1",1.36187832396557e-24,0.797837785892754,1.25815797191986,0.991,0.44,1.60933161543011e-20,"0","CALB1"
"C4H4ORF50",1.76055802303503e-24,0.205890832212185,-5.30225396102311,0.055,0.624,2.08045141582049e-20,"0","C4H4ORF50"
"HS3ST6",2.09194123955271e-24,0.680338266384778,2.78966308209107,0.418,0.059,2.47204696277944e-20,"0","HS3ST6"
"RORB",2.5719918852403e-24,0.70848548914088,2.44781082700443,0.509,0.104,3.03932281078847e-20,"0","RORB"
"NR2F1",3.3106857598267e-24,0.772813761291563,2.40421981055147,0.755,0.304,3.91223736238721e-20,"0","NR2F1"
"TMSB4X",4.54182085993974e-24,0.805419950028829,1.24445751963274,0.973,0.641,5.36706971019079e-20,"0","TMSB4X"
"CMTM6",7.51429524783342e-24,0.696309821256967,3.04164791233699,0.473,0.087,8.87964269436475e-20,"0","CMTM6"
"COL27A1",7.95380567298537e-24,0.661099365750529,2.90780539453959,0.364,0.04,9.39901216376681e-20,"0","COL27A1"
"GSTT1L",1.01900323837828e-23,0.755746684605036,0.725197783238068,0.791,0.218,1.20415612679161e-19,"0","GSTT1L"
"LRTOMT",2.394922676215e-23,0.217480299827023,-4.77446966526233,0.027,0.588,2.83008012648326e-19,"0","LRTOMT"
"S100A6",2.41368758736798e-23,0.789458004997117,1.46542891438317,0.882,0.463,2.85225462199274e-19,"0","S100A6"
"SDC1",2.58036543554875e-23,0.710657313088603,2.66932274470273,0.518,0.121,3.04921783518796e-19,"0","SDC1"
"CXCL14",3.41121351188909e-23,0.208975591005189,-4.48218151027743,0.145,0.668,4.03103100699934e-19,"0","CXCL14"
"ZONADHL",4.70491517505773e-23,0.216000384393619,-5.19750113516816,0.064,0.613,5.55979826236572e-19,"0","ZONADHL"
"PPP2R3A",6.77824581739856e-23,0.708610417067077,3.02121052475966,0.518,0.121,8.00985308241988e-19,"0","PPP2R3A"
"GLRA3",9.95795491913172e-23,0.625206611570248,7.49274539680815,0.264,0.015,1.1767315327938e-18,"0","GLRA3"
"DNAJC5B",1.08519751886104e-22,0.217067076686527,-4.87971872685355,0.091,0.622,1.28237790803809e-18,"0","DNAJC5B"
"TMEM255B",1.10007362397327e-22,0.21381895060542,-3.94989142348477,0.127,0.653,1.29995700144921e-18,"0","TMEM255B"
"VWA1",1.45408114922794e-22,0.685296944070728,3.62038862206765,0.436,0.082,1.71828769404266e-18,"0","VWA1"
"TMTC2",1.62147346817087e-22,0.714981741303094,3.59100166680591,0.527,0.144,1.91609519733752e-18,"0","TMTC2"
"PLOD2",1.75204600558039e-22,0.777935806265616,2.43969647177999,0.791,0.421,2.07039276479434e-18,"0","PLOD2"
"GJB6",1.76225622450713e-22,0.79486834518547,1.2519684266768,1,0.649,2.08245818050008e-18,"0","GJB6"
"GFI1",2.3683186380349e-22,0.221891216605804,-4.75438823907402,0.064,0.6,2.79864213456584e-18,"0","GFI1"
"ANTXR1",3.11492804415367e-22,0.670517009417644,2.71026118188326,0.4,0.061,3.68091046977639e-18,"0","ANTXR1"
"OSBPL1A",3.72513971842964e-22,0.216961368441284,-4.59903682393764,0.145,0.655,4.4019976052683e-18,"0","OSBPL1A"
"GPX2",3.80376376964928e-22,0.222073803574861,-5.62939572333459,0.1,0.605,4.49490764659456e-18,"0","GPX2"
"GRIK4",7.24792729242075e-22,0.65839900057659,3.28361783412228,0.364,0.049,8.5648756814536e-18,"0","GRIK4"
"LOC419602",8.31744004606279e-22,0.22924274457044,-6.37390222741275,0.045,0.569,9.8287189024324e-18,"0","LOC419602"
"SH3BGRL2",9.67534411642484e-22,0.692446665385355,1.31873804663775,0.491,0.097,1.14333541423792e-17,"0","SH3BGRL2"
"SORBS2",1.03729022031983e-21,0.22265039400346,-4.24632432986139,0.109,0.63,1.22576585335195e-17,"0","SORBS2"
"ATP6V0A1",1.0762862496931e-21,0.218124159138958,-3.66028550552885,0.182,0.677,1.27184746126233e-17,"0","ATP6V0A1"
"GPR162",1.15802165491712e-21,0.713078992888718,2.50024413235924,0.555,0.146,1.36843418961556e-17,"0","GPR162"
"CARHSP1",1.18826071744691e-21,0.233403805496829,-5.90470362156673,0.018,0.548,1.40416768980701e-17,"0","CARHSP1"
"CISD2",1.28790388766553e-21,0.78769940418989,1.70321166964724,0.9,0.641,1.52191602405436e-17,"0","CISD2"
"FADS2",1.51725834216971e-21,0.782731116663463,1.60149706309037,0.891,0.543,1.79294418294195e-17,"0","FADS2"
"APOA1",1.66117978320706e-21,0.616663463386508,4.42242159182198,0.245,0.013,1.96301614981579e-17,"0","APOA1"
"CHGA",2.65665031558051e-21,0.227090140303671,-2.47166860172938,0.082,0.617,3.13936367792149e-17,"0","CHGA"
"FAM89A",4.26104088822899e-21,0.753978473957332,1.89066261289562,0.736,0.313,5.03527201762019e-17,"0","FAM89A"
"RAB15",5.21458606950964e-21,0.233528733423025,-4.76919423685985,0.064,0.575,6.16207635833954e-17,"0","RAB15"
"RBM24",5.23885190740093e-21,0.229886603882376,-3.00259432980674,0.073,0.611,6.19075129897568e-17,"0","RBM24"
"USH1C",6.20884765973989e-21,0.220420911012877,-2.92237522923051,0.245,0.717,7.33699527951463e-17,"0","USH1C"
"ACOT7",8.8828903912258e-21,0.231674034211032,-3.59306923024745,0.091,0.605,1.04969115753115e-16,"0","ACOT7"
"TMPRSS9",9.12132060385548e-21,0.728079953872766,2.18533607944558,0.618,0.209,1.0778664557576e-16,"0","TMPRSS9"
"RBM38",1.41048785106524e-20,0.2362963674803,-3.88746773942411,0.064,0.577,1.66677349360379e-16,"0","RBM38"
"TFCP2L1",1.59681006179416e-20,0.597770517009418,5.31262368759727,0.2,0.004,1.88695045002216e-16,"0","TFCP2L1"
"CD164",1.73144884462956e-20,0.759705938881415,2.45422179603317,0.745,0.387,2.04605309969875e-16,"0","CD164"
"CAST",2.1216943866504e-20,0.234143763213531,-3.7468158475628,0.1,0.605,2.50720625670478e-16,"0","CAST"
"GAPDH",2.34770609058682e-20,0.217240053815107,-1.0229996716058,0.955,0.983,2.77428428724645e-16,"0","GAPDH"
"STARD10",2.4624626275851e-20,0.233509513742072,-4.65471774960527,0.127,0.611,2.90989208701731e-16,"0","STARD10"
"GIPC3",2.77158675812218e-20,0.232337113203921,-2.06707183280291,0.136,0.628,3.27518407207297e-16,"0","GIPC3"
"SLC17A8",2.91155331732906e-20,0.236257928118393,-3.98744690360254,0.091,0.594,3.44058255508775e-16,"0","SLC17A8"
"BDNF",3.69665682302183e-20,0.236229098596963,-2.34071147195925,0.082,0.605,4.3683393677649e-16,"0","BDNF"
"SLITRK2",3.91595360840922e-20,0.685364212954065,3.10626631812978,0.464,0.106,4.62748237905717e-16,"0","SLITRK2"
"CABP1",4.42491522941875e-20,0.242638862194888,-5.32982327745075,0.055,0.552,5.22892232660413e-16,"0","CABP1"
"COL24A1",4.77578004721609e-20,0.682663847780127,2.74061499073592,0.455,0.101,5.64353928179526e-16,"0","COL24A1"
"KCNQ2",4.82678661089862e-20,0.244801076302133,-5.33229160747811,0.036,0.539,5.7038137380989e-16,"0","KCNQ2"
"KHDRBS3",8.37853041693057e-20,0.235633288487411,-3.3234731346441,0.127,0.632,9.90090939368685e-16,"0","KHDRBS3"
"MYO6",9.49745197777347e-20,0.222121852777244,-2.02302388113428,0.709,0.913,1.12231390021349e-15,"0","MYO6"
"TMEM35A",1.13879201280213e-19,0.235498750720738,-2.50905782037371,0.136,0.645,1.34571052152827e-15,"0","TMEM35A"
"TYRO3",1.22674974883744e-19,0.737555256582741,2.86457780278458,0.673,0.283,1.4496501782012e-15,"0","TYRO3"
"SPTBN1",1.37410822565574e-19,0.22399577167019,-2.335478886558,0.564,0.871,1.62378369025738e-15,"0","SPTBN1"
"AK1",2.06938538818467e-19,0.250432442821449,-4.90727618829848,0.036,0.529,2.44539271321782e-15,"0","AK1"
"LOC107057310",2.22015628932481e-19,0.233855467999231,-2.51313003286516,0.209,0.687,2.62355868709512e-15,"0","LOC107057310"
"GALNT9",2.54006104111109e-19,0.253632519700173,-7.62967106009286,0.027,0.51,3.00159013228097e-15,"0","GALNT9"
"NOTCH1",3.97573820722162e-19,0.722035364212954,2.43582216409008,0.609,0.23,4.69812983947378e-15,"0","NOTCH1"
"ENTPD1",4.23895328469565e-19,0.63265423793965,3.20709046283261,0.3,0.036,5.00917109652484e-15,"0","ENTPD1"
"PGM2L1",4.54974395628433e-19,0.254093792043052,-5.75957729106658,0.036,0.518,5.37643243314119e-15,"0","PGM2L1"
"LHX3",4.57710409590354e-19,0.253603690178743,-5.00698891433473,0.036,0.522,5.40876391012922e-15,"0","LHX3"
"KIF1A",5.59555313022893e-19,0.24825100903325,-2.55253361986604,0.073,0.569,6.61226513399153e-15,"0","KIF1A"
"OLFM1",5.84986604650394e-19,0.247366903709398,-2.56741805607175,0.082,0.577,6.9127867071537e-15,"0","OLFM1"
"CADM2",6.92733007810643e-19,0.251989236978666,-4.98443942482497,0.064,0.541,8.18602595329837e-15,"0","CADM2"
"PKIG",8.07161346560701e-19,0.243503747837786,-2.85454954972188,0.145,0.619,9.5382256323078e-15,"0","PKIG"
"GJA1",8.45533468795839e-19,0.690688064578128,2.23088419442189,0.509,0.133,9.99166900076043e-15,"0","GJA1"
"SCN3B",1.09270888386012e-18,0.257034403228906,-4.50391269344234,0.036,0.516,1.2912540880575e-14,"0","SCN3B"
"MDH1",1.13473314509307e-18,0.231971939265808,-1.7209467639254,0.5,0.827,1.34091415755648e-14,"0","MDH1"
"SEC61A1",1.2555684061395e-18,0.75174899096675,2.73464875835058,0.809,0.425,1.48370518553505e-14,"0","SEC61A1"
"OSBPL11",1.34178063548388e-18,0.253824716509706,-5.20261864890694,0.073,0.541,1.5855821769513e-14,"0","OSBPL11"
"EGFR",1.46498758664446e-18,0.711406880645781,1.9867819019395,0.591,0.201,1.73117583113776e-14,"0","EGFR"
"TWF2",1.5785610545528e-18,0.24632904093792,-2.88415359179149,0.136,0.613,1.86538559816504e-14,"0","TWF2"
"TMPRSS7",3.61920981564939e-18,0.250048049202383,-2.85637962740914,0.127,0.603,4.27682023915289e-14,"0","TMPRSS7"
"DSG2",3.7184232276636e-18,0.683961176244474,2.15088246836585,0.491,0.127,4.39406072813008e-14,"0","DSG2"
"FYN",3.78328898923417e-18,0.677964635787046,1.88800381038934,0.473,0.112,4.47071259857802e-14,"0","FYN"
"UQCRQ",4.11672134084594e-18,0.235854314818374,-1.74734015772381,0.545,0.85,4.86472960847764e-14,"0","UQCRQ"
"CALM2",5.79737461681352e-18,0.236075341149337,-1.93588482978594,0.782,0.905,6.85075758468854e-14,"0","CALM2"
"SYT14",5.79765845691264e-18,0.255698635402652,-4.10157077227124,0.109,0.56,6.85109299853366e-14,"0","SYT14"
"DUSP19",5.86162517860724e-18,0.242994426292524,-3.27442552093777,0.336,0.691,6.92668247356017e-14,"0","DUSP19"
"LOC771069",6.00990954840531e-18,0.686527003651739,1.6335912237226,0.509,0.135,7.10191011335055e-14,"0","LOC771069"
"RTN1",6.10844167345498e-18,0.254295598693062,-3.27522684142605,0.1,0.579,7.21834552552175e-14,"0","RTN1"
"NDUFS5",6.1474340284529e-18,0.242216029213915,-1.96199859836338,0.245,0.734,7.26442279142279e-14,"0","NDUFS5"
"CHRNA9",6.85761883482482e-18,0.271670190274841,-13.2885844431629,0,0.457,8.10364817711249e-14,"0","CHRNA9"
"ARMC4",7.39895715052575e-18,0.263751681722083,-3.45414730458467,0.036,0.51,8.74334766477628e-14,"0","ARMC4"
"TMC1",7.42215506526209e-18,0.26376129156256,-2.9835547259333,0.036,0.51,8.77076064062021e-14,"0","TMC1"
"KIF21A",9.02021561512696e-18,0.238497020949452,-1.75275154664333,0.6,0.844,1.06591887923955e-13,"0","KIF21A"
"CA4",9.44851961247628e-18,0.602046896021526,3.99080871333285,0.218,0.015,1.11653156260632e-13,"0","CA4"
"AGBL4",1.05465346785317e-17,0.257841629828945,-4.59179484103453,0.109,0.558,1.2462840029621e-13,"0","AGBL4"
"DSE",1.05986901495768e-17,0.63609456083029,2.93122793335803,0.318,0.049,1.25244721497549e-13,"0","DSE"
"DFNB59",1.07936057378434e-17,0.264193734384009,-4.72302395404592,0.055,0.512,1.27548039004095e-13,"0","DFNB59"
"TGFBR2",1.17641113476776e-17,0.591850855275802,8.54035409799779,0.191,0.008,1.39016503795506e-13,"0","TGFBR2"
"CALM1",1.21813661727605e-17,0.238506630789929,-1.25009298249493,0.809,0.96,1.43947204063511e-13,"0","CALM1"
"LPL",1.31133493503944e-17,0.636748029982702,3.44413208235164,0.318,0.051,1.54960449273611e-13,"0","LPL"
"XIRP2",1.38924914737094e-17,0.257947338074188,-2.86078770708224,0.1,0.569,1.64167571744824e-13,"0","XIRP2"
"ADGRV1",1.44119772844059e-17,0.267662886796079,-5.57079302808696,0.036,0.495,1.70306335569825e-13,"0","ADGRV1"
"TTYH3",1.59907224420785e-17,0.254949067845474,-3.4389017140486,0.155,0.596,1.88962367098041e-13,"0","TTYH3"
"GSTO1",1.62798233049052e-17,0.260916778781472,-4.09245442494405,0.091,0.545,1.92378671994065e-13,"0","GSTO1"
"TMPRSS3",1.69029349070933e-17,0.266115702479339,-6.27049441217913,0.064,0.505,1.99741981797121e-13,"0","TMPRSS3"
"LRTM2",1.78294122263276e-17,0.26886411685566,-4.89690239445161,0.036,0.49,2.10690164278513e-13,"0","LRTM2"
"COL5A1",1.94923306872044e-17,0.749404189890448,1.77477403421805,0.836,0.51,2.30340871730695e-13,"0","COL5A1"
"A2ML3",2.17228731348131e-17,0.657668652700365,3.04845063916553,0.391,0.085,2.56699191834086e-13,"0","A2ML3"
"KIAA0408",2.22693633292539e-17,0.264597347684028,-3.17020603319762,0.055,0.529,2.63157066461793e-13,"0","KIAA0408"
"WISP1",2.28184882817296e-17,0.624783778589275,2.014280071233,0.291,0.036,2.69646076025199e-13,"0","WISP1"
"HSPA8",2.33308886682334e-17,0.240803382663848,-1.00382346108038,0.873,0.949,2.75701111392514e-13,"0","HSPA8"
"TNFAIP8L1",2.44072573430229e-17,0.265125888910244,-3.63426497278292,0.064,0.524,2.88420560022501e-13,"0","TNFAIP8L1"
"CLN6",2.50517144088046e-17,0.250105708245243,-2.49226553444908,0.218,0.677,2.96036109168844e-13,"0","CLN6"
"LOC112533023",3.10318805033445e-17,0.673630597732078,2.90561706746266,0.445,0.121,3.66703731908022e-13,"0","LOC112533023"
"LYSMD2",3.11029413211413e-17,0.252315971554872,-2.72485205651774,0.209,0.653,3.67543457591926e-13,"0","LYSMD2"
"ZHX3",3.60456566789534e-17,0.740390159523352,1.90158863413668,0.736,0.438,4.25951524975192e-13,"0","ZHX3"
"S100A14",3.65315318958166e-17,0.607486065731309,2.63683174064176,0.236,0.021,4.31693112412865e-13,"0","S100A14"
"FSCN2",3.81314488305693e-17,0.275446857582164,-6.31156156602251,0.018,0.463,4.50599330830838e-13,"0","FSCN2"
"CERKL",3.85771275785642e-17,0.265029790505478,-4.00619740998028,0.082,0.535,4.55865916595893e-13,"0","CERKL"
"ISL1",5.39920350734846e-17,0.741130117240054,1.58966807380146,0.8,0.448,6.38023878463368e-13,"0","ISL1"
"SGCB",5.6153616542727e-17,0.254997117047857,-2.39391209812583,0.2,0.645,6.63567286685405e-13,"0","SGCB"
"PACRG",7.67729244916353e-17,0.278819911589468,-7.64335640676494,0.018,0.455,9.07225648717654e-13,"0","PACRG"
"NF2L",8.0159767499833e-17,0.576359792427446,10.8508509809532,0.155,0.002,9.47247972545526e-13,"0","NF2L"
"MUC13",8.47647889985239e-17,0.63425908129925,3.06711362383254,0.318,0.053,1.00166551159556e-12,"0","MUC13"
"AP3B2",9.59039419001711e-17,0.270046127234288,-3.67516480835124,0.073,0.518,1.13329688143432e-12,"0","AP3B2"
"SLC7A14",1.06092483798265e-16,0.273524889486835,-4.4694767591278,0.055,0.495,1.2536948810441e-12,"0","SLC7A14"
"MACF1",1.12189228028317e-16,0.260561214683836,-2.258473044871,0.136,0.613,1.32574010761062e-12,"0","MACF1"
"MYO7A",1.29514756062851e-16,0.272688833365366,-3.42151483457781,0.055,0.507,1.53047587239471e-12,"0","MYO7A"
"ESPN",1.30877960469058e-16,0.260474726119546,-2.63261024647084,0.164,0.615,1.54658485886286e-12,"0","ESPN"
"CRABP1",1.32189740965298e-16,0.28265423793965,-7.23202788547896,0.009,0.442,1.56208616898693e-12,"0","CRABP1"
"LOC101748511",1.33662833463012e-16,0.272073803574861,-5.58386710465572,0.082,0.507,1.57949370303242e-12,"0","LOC101748511"
"C1H21ORF59",1.57943494983205e-16,0.26404958677686,-2.78700566566903,0.136,0.584,1.86641828021653e-12,"0","C1H21ORF59"
"NREP",1.69815714704611e-16,0.255285412262156,-2.16907225121077,0.282,0.691,2.00671230066439e-12,"0","NREP"
"SLITRK6",1.78297560317812e-16,0.66198347107438,2.65773824676991,0.418,0.104,2.10694227027559e-12,"0","SLITRK6"
"DKK2",1.85211840327063e-16,0.600826446280992,5.41713012954564,0.218,0.019,2.1886483171449e-12,"0","DKK2"
"FKBP7",1.85354440955753e-16,0.2827983855468,-8.50391816216317,0.018,0.446,2.19033342877414e-12,"0","FKBP7"
"OCM",1.94728313277649e-16,0.254478185662118,-4.20374155827315,0.345,0.706,2.30110447800198e-12,"0","OCM"
"SMPX",2.11639308179241e-16,0.283519123582549,-7.84767650507475,0.018,0.444,2.50094170475409e-12,"0","SMPX"
"USH2A",2.33244292016571e-16,0.277628291370363,-5.4895058239756,0.055,0.482,2.75624779875982e-12,"0","USH2A"
"SOX10",2.42105274685617e-16,0.685854314818374,2.38806313349108,0.509,0.169,2.86095803095994e-12,"0","SOX10"
"PLBD1",2.5670886971272e-16,0.663203920814915,2.39271853998005,0.427,0.108,3.03352871339521e-12,"0","PLBD1"
"RSPH1",2.81276540626375e-16,0.282932923313473,-6.4843539546711,0.027,0.452,3.32384488058187e-12,"0","RSPH1"
"SHTN1",2.81316154014791e-16,0.270776475110513,-2.80503337479947,0.082,0.543,3.32431299199279e-12,"0","SHTN1"
"LAPTM4A",3.03796770795408e-16,0.74985585239285,1.24080377045815,0.936,0.911,3.58996644048933e-12,"0","LAPTM4A"
"SORL1",3.10326360597991e-16,0.704843359600231,2.15655539059894,0.609,0.241,3.66712660318646e-12,"0","SORL1"
"LPGAT1",3.49686991249591e-16,0.270305592927157,-4.38168131846381,0.118,0.548,4.13225117559642e-12,"0","LPGAT1"
"NTRK2",3.58376856258334e-16,0.634364789544494,4.12033402581385,0.318,0.059,4.23493931040473e-12,"0","NTRK2"
"SLCO5A1",3.92293302278779e-16,0.669344608879493,1.61019398541752,0.455,0.125,4.63572995302833e-12,"0","SLCO5A1"
"SH3GLB2",3.96525755400169e-16,0.271122429367673,-3.31344817851241,0.109,0.545,4.6857448515638e-12,"0","SH3GLB2"
"IGFBP5",4.14761962829585e-16,0.723890063424947,2.0017998964088,0.727,0.355,4.9012421147572e-12,"0","IGFBP5"
"SLC35B2",4.16710045992419e-16,0.704670382471651,2.68004327676087,0.591,0.249,4.92426261349242e-12,"0","SLC35B2"
"PCDH9",4.71691394460645e-16,0.282058427830098,-3.58192422969475,0.036,0.469,5.57397720834144e-12,"0","PCDH9"
"SIK1",5.08499400108442e-16,0.273832404382087,-3.00998408857262,0.109,0.526,6.00893741108146e-12,"0","SIK1"
"LHFPL5",5.24144043909487e-16,0.273092446665385,-3.19156952825812,0.1,0.537,6.19381016687841e-12,"0","LHFPL5"
"COX5A",5.6786738148459e-16,0.258245243128964,-1.78704053542734,0.3,0.719,6.7104888470034e-12,"0","COX5A"
"LOC425756",6.39869528919602e-16,0.663002114164905,2.56049696180597,0.427,0.114,7.56133822324293e-12,"0","LOC425756"
"C13H5orf15",7.18275539613302e-16,0.745166250240246,1.8691200455762,0.845,0.748,8.48786205161038e-12,"0","C13H5orf15"
"PTPRQ",7.31023835624066e-16,0.275927349605997,-4.43440412794237,0.091,0.522,8.63850866556959e-12,"0","PTPRQ"
"APLP2",8.46224279992987e-16,0.746059965404574,0.907633823022939,0.955,0.911,9.99983231667713e-12,"0","APLP2"
"NR2F2",9.5275745307879e-16,0.723390351720161,1.43263887274511,0.791,0.362,1.12587348230321e-11,"0","NR2F2"
"SPARC",1.01602268224192e-15,0.7346915241207,0.564205333626095,0.945,0.469,1.20063400360528e-11,"0","SPARC"
"TRPM7",1.07754371711643e-15,0.700307514895253,2.08314071335282,0.6,0.239,1.27333341051648e-11,"0","TRPM7"
"NELL1",1.0889192485005e-15,0.270238324043821,-2.76029968913967,0.164,0.584,1.28677587595304e-11,"0","NELL1"
"GPR146",1.27306851823917e-15,0.633653661349222,2.71511901733919,0.327,0.061,1.50438506800322e-11,"0","GPR146"
"ACTC2L",1.45046939697457e-15,0.255910051893139,-1.09584016770252,0.927,0.964,1.71401968640485e-11,"0","ACTC2L"
"RAB3IP",1.49272600015163e-15,0.264462809917355,-2.20601636051022,0.264,0.668,1.76395431437918e-11,"0","RAB3IP"
"CRYBA4",1.53614251293482e-15,0.27760907168941,-3.58113861916173,0.1,0.529,1.81525960753507e-11,"0","CRYBA4"
"CALD1",1.65952528416317e-15,0.294455122044974,-10.996079296295,0.009,0.416,1.96106102829561e-11,"0","CALD1"
"TRAPPC4",1.90838245127274e-15,0.260032673457621,-1.32897938040123,0.391,0.78,2.255135542669e-11,"0","TRAPPC4"
"SOGA3",2.16686936477909e-15,0.288439361906592,-3.02785306403873,0.036,0.459,2.56058952835945e-11,"0","SOGA3"
"LOC107054473",2.60809176076918e-15,0.293398039592543,-4.59887480757641,0.018,0.431,3.08198203370094e-11,"0","LOC107054473"
"ATP1B1",2.6120005778677e-15,0.270459350374784,-1.17716249971753,0.191,0.617,3.08660108286626e-11,"0","ATP1B1"
"LOC101748751",3.10659133202708e-15,0.294272535075918,-4.41514119041068,0.018,0.429,3.6710589770564e-11,"0","LOC101748751"
"EPB41L2",3.38374070944499e-15,0.704833749759754,1.62772471188617,0.627,0.283,3.99856639635115e-11,"0","EPB41L2"
"CIB3",3.59727562652653e-15,0.283615221987315,-4.19136502551434,0.091,0.501,4.2509006078664e-11,"0","CIB3"
"PODXL2",3.8779768759926e-15,0.275581395348837,-2.08101119542852,0.127,0.581,4.58260527436046e-11,"0","PODXL2"
